"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"DB","Rank  Paying taxes DB18","Total","Rank  Paying taxes DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Strength of minority investor protection index 010 DB1518 methodology","Total","Protecting Minority Investors  Strength of minority investor protection index 010 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Strength of investor protection index 010 DB0614 methodology","Total","Protecting Minority Investors  Strength of investor protection index 010 DB0614 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Extent of shareholder governance index 010 DB1518 methodology","Total","Protecting Minority Investors  Extent of shareholder governance index 010 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Extent of conflict of interest regulation index 010
DB1518 methodology","Total","Protecting Minority Investors  Extent of conflict of interest regulation index 010
DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Extent of corporate transparency index 010 DB1518 methodology","Total","Protecting Minority Investors  Extent of corporate transparency index 010 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Extent of ownership and control index 010 DB1518 methodology","Total","Protecting Minority Investors  Extent of ownership and control index 010 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Extent of shareholder rights index 010 DB1518 methodology","Total","Protecting Minority Investors  Extent of shareholder rights index 010 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Ease of shareholder suits index 010 DB1518 methodology","Total","Protecting Minority Investors  Ease of shareholder suits index 010 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Ease of shareholder suits index 010 DB0614 methodology","Total","Protecting Minority Investors  Ease of shareholder suits index 010 DB0614 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Extent of director liability index 010","Total","Protecting Minority Investors  Extent of director liability index 010","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  Extent of disclosure index 010","Total","Protecting Minority Investors  Extent of disclosure index 010","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  DTF  Protecting minority investors
DB0614 methodology","Total","Protecting Minority Investors  DTF  Protecting minority investors
DB0614 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Protecting Minority Investors  DTF  Protecting minority investors
DB1518 methodology","Total","Protecting Minority Investors  DTF  Protecting minority investors
DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank Protecting minority investors
DB18","Total","Rank Protecting minority investors
DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Credit  Getting Credit total score DB1518 methodology","Total","Getting Credit  Getting Credit total score DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
