"","Indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"25","can a married woman get a job or pursue a trade or profession in the same way as a married man?-WBL-1 Yes 0 No","129-WBL-Total","Can a married woman get a job or pursue a trade or profession in the same way as a married man?","Total","Can a married woman get a job or pursue a trade or profession in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"26","can a married woman obtain a national id card in the same way as a married man?-WBL-1 Yes 0 No","135-WBL-Total","Can a married woman obtain a national ID card in the same way as a married man?","Total","Can a married woman obtain a national ID card in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"27","can a married woman open a bank account in the same way as a married man?-WBL-1 Yes 0 No","123-WBL-Total","Can a married woman open a bank account in the same way as a married man?","Total","Can a married woman open a bank account in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"28","can a married woman register a business in the same way as a married man?-WBL-1 Yes 0 No","125-WBL-Total","Can a married woman register a business in the same way as a married man?","Total","Can a married woman register a business in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"29","can a married woman sign a contract in the same way as a married man?-WBL-1 Yes 0 No","127-WBL-Total","Can a married woman sign a contract in the same way as a married man?","Total","Can a married woman sign a contract in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"30","can a married woman travel outside her home in the same way as a married man?-WBL-1 Yes 0 No","131-WBL-Total","Can a married woman travel outside her home in the same way as a married man?","Total","Can a married woman travel outside her home in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"31","can a married woman travel outside the country in the same way as a married man?-WBL-1 Yes 0 No","133-WBL-Total","Can a married woman travel outside the country in the same way as a married man?","Total","Can a married woman travel outside the country in the same way as a married man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"32","can an unmarried woman apply for a passport in the same way as an unmarried man?-WBL-1 Yes 0 No","138-WBL-Total","Can an unmarried woman apply for a passport in the same way as an unmarried man?","Total","Can an unmarried woman apply for a passport in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"33","can an unmarried woman be head of household or head of family in the same way as an unmarried man?-WBL-1 Yes 0 No","118-WBL-Total","Can an unmarried woman be -head of household- or -head of family- in the same way as an unmarried man?","Total","Can an unmarried woman be head of household or head of family in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"34","can an unmarried woman choose where to live in the same way as an unmarried man?-WBL-1 Yes 0 No","122-WBL-Total","Can an unmarried woman choose where to live in the same way as an unmarried man?","Total","Can an unmarried woman choose where to live in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"35","can an unmarried woman confer citizenship to her children in the same way as an unmarried man?-WBL-1 Yes 0 No","120-WBL-Total","Can an unmarried woman confer citizenship to her children in the same way as an unmarried man?","Total","Can an unmarried woman confer citizenship to her children in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"36","can an unmarried woman get a job or pursue a trade or profession in the same way as an unmarried man?-WBL-1 Yes 0 No","130-WBL-Total","Can an unmarried woman get a job or pursue a trade or profession in the same way as an unmarried man?","Total","Can an unmarried woman get a job or pursue a trade or profession in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"37","can an unmarried woman obtain a national id card in the same way as an unmarried man?-WBL-1 Yes 0 No","136-WBL-Total","Can an unmarried woman obtain a national ID card in the same way as an unmarried man?","Total","Can an unmarried woman obtain a national ID card in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"38","can an unmarried woman open a bank account in the same way as an unmarried man?-WBL-1 Yes 0 No","124-WBL-Total","Can an unmarried woman open a bank account in the same way as an unmarried man?","Total","Can an unmarried woman open a bank account in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"39","can an unmarried woman register a business in the same way as an unmarried man?-WBL-1 Yes 0 No","126-WBL-Total","Can an unmarried woman register a business in the same way as an unmarried man?","Total","Can an unmarried woman register a business in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"40","can an unmarried woman sign a contract in the same way as an unmarried man?-WBL-1 Yes 0 No","128-WBL-Total","Can an unmarried woman sign a contract in the same way as an unmarried man?","Total","Can an unmarried woman sign a contract in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"41","can an unmarried woman travel outside her home in the same way as an unmarried man?-WBL-1 Yes 0 No","132-WBL-Total","Can an unmarried woman travel outside her home in the same way as an unmarried man?","Total","Can an unmarried woman travel outside her home in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"42","can an unmarried woman travel outside the country in the same way as an unmarried man?-WBL-1 Yes 0 No","134-WBL-Total","Can an unmarried woman travel outside the country in the same way as an unmarried man?","Total","Can an unmarried woman travel outside the country in the same way as an unmarried man?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"43","can nonpregnant and nonnursing women do the same jobs as men?-WBL-1 Yes 0 No","45-WBL-Total","Can nonpregnant and nonnursing women do the same jobs as men?","Total","Can nonpregnant and nonnursing women do the same jobs as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"44","can nonpregnant and nonnursing women engage in jobs requiring lifting weights above a threshold in the same way as men?-WBL-1 Yes 0 No","33-WBL-Total","Can nonpregnant and nonnursing women engage in jobs requiring lifting weights above a threshold in the same way as men?","Total","Can nonpregnant and nonnursing women engage in jobs requiring lifting weights above a threshold in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"45","can nonpregnant and nonnursing women work in agriculture in the same way as men?-WBL-1 Yes 0 No","38-WBL-Total","Can nonpregnant and nonnursing women work in agriculture in the same way as men?","Total","Can nonpregnant and nonnursing women work in agriculture in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"46","can nonpregnant and nonnursing women work in all other jobs in the same way as men?-WBL-1 Yes 0 No","32-WBL-Total","Can nonpregnant and nonnursing women work in all other jobs in the same way as men?","Total","Can nonpregnant and nonnursing women work in all other jobs in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"47","can nonpregnant and nonnursing women work in construction in the same way as men?-WBL-1 Yes 0 No","39-WBL-Total","Can nonpregnant and nonnursing women work in construction in the same way as men?","Total","Can nonpregnant and nonnursing women work in construction in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"48","can nonpregnant and nonnursing women work in energy sector in the same way as men?-WBL-1 Yes 0 No","36-WBL-Total","Can nonpregnant and nonnursing women work in energy sector in the same way as men?","Total","Can nonpregnant and nonnursing women work in energy sector in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"49","can nonpregnant and nonnursing women work in factories in the same way as men?-WBL-1 Yes 0 No","40-WBL-Total","Can nonpregnant and nonnursing women work in factories in the same way as men?","Total","Can nonpregnant and nonnursing women work in factories in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"50","can nonpregnant and nonnursing women work in jobs deemed arduous in the same way as men?-WBL-1 Yes 0 No","42-WBL-Total","Can nonpregnant and nonnursing women work in jobs deemed arduous in the same way as men?","Total","Can nonpregnant and nonnursing women work in jobs deemed arduous in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"51","can nonpregnant and nonnursing women work in jobs deemed hazardous in the same way as men?-WBL-1 Yes 0 No","44-WBL-Total","Can nonpregnant and nonnursing women work in jobs deemed hazardous in the same way as men?","Total","Can nonpregnant and nonnursing women work in jobs deemed hazardous in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"52","can nonpregnant and nonnursing women work in jobs deemed morally or socially inappropriate in the same way as men?-WBL-1 Yes 0 No","43-WBL-Total","Can nonpregnant and nonnursing women work in jobs deemed morally or socially inappropriate in the same way as men?","Total","Can nonpregnant and nonnursing women work in jobs deemed morally or socially inappropriate in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"53","can nonpregnant and nonnursing women work in metalworking in the same way as men?-WBL-1 Yes 0 No","34-WBL-Total","Can nonpregnant and nonnursing women work in metalworking in the same way as men?","Total","Can nonpregnant and nonnursing women work in metalworking in the same way as men?","WBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
