"","Indicator","dataset","iso3","subset","year","group","question","answer","value","Indicator_Id"
"21217","Electoral Democracies-FH-Total","FH","PNG","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21218","Electoral Democracies-FH-Total","FH","PRY","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21219","Electoral Democracies-FH-Total","FH","PER","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21220","Electoral Democracies-FH-Total","FH","PHL","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21221","Electoral Democracies-FH-Total","FH","POL","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21222","Electoral Democracies-FH-Total","FH","PRT","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21223","Electoral Democracies-FH-Total","FH","QAT","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21224","Electoral Democracies-FH-Total","FH","ROM","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21225","Electoral Democracies-FH-Total","FH","RUS","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21226","Electoral Democracies-FH-Total","FH","RWA","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21227","Electoral Democracies-FH-Total","FH","WSM","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21228","Electoral Democracies-FH-Total","FH","SMR","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21229","Electoral Democracies-FH-Total","FH","SAU","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21230","Electoral Democracies-FH-Total","FH","SEN","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21231","Electoral Democracies-FH-Total","FH","SRB","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21232","Electoral Democracies-FH-Total","FH","SYC","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21233","Electoral Democracies-FH-Total","FH","SLE","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21234","Electoral Democracies-FH-Total","FH","SGP","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21235","Electoral Democracies-FH-Total","FH","SVK","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21236","Electoral Democracies-FH-Total","FH","SVN","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21237","Electoral Democracies-FH-Total","FH","SLB","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21238","Electoral Democracies-FH-Total","FH","SOM","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21239","Electoral Democracies-FH-Total","FH","ZAF","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21240","Electoral Democracies-FH-Total","FH","KOR","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21241","Electoral Democracies-FH-Total","FH","ESP","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21242","Electoral Democracies-FH-Total","FH","LKA","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21243","Electoral Democracies-FH-Total","FH","KNA","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21244","Electoral Democracies-FH-Total","FH","LCA","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21245","Electoral Democracies-FH-Total","FH","VCT","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21246","Electoral Democracies-FH-Total","FH","SDN","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21247","Electoral Democracies-FH-Total","FH","SUR","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21248","Electoral Democracies-FH-Total","FH","SWZ","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21249","Electoral Democracies-FH-Total","FH","SWE","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21250","Electoral Democracies-FH-Total","FH","CHE","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21251","Electoral Democracies-FH-Total","FH","SYR","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21252","Electoral Democracies-FH-Total","FH","TWN","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
