"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"41","getting electricity dtf getting electricity-DB-Total","DB","Getting Electricity DTF Getting electricity","Total","Getting Electricity DTF Getting electricity","102-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"42","getting electricity financial deterrents aimed at limiting outages-DB-Total","DB","Getting Electricity Financial deterrents aimed at limiting outages","Total","Getting Electricity Financial deterrents aimed at limiting outages","90-DB-Total","0-1","0-1","Value",4.239,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Financial deterrents aimed at limiting outages","",4.045,"Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Financial deterrents aimed at limiting outages","",4.229,"Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Financial deterrents aimed at limiting outages","DB28","DB28","","",""
"43","getting electricity mechanisms for monitoring outages-DB-Total","DB","Getting Electricity Mechanisms for monitoring outages","Total","Getting Electricity Mechanisms for monitoring outages","93-DB-Total","0-1","0-1","Value",4.348,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Mechanisms for monitoring outages","",4.266,"Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Mechanisms for monitoring outages","",4.118,"Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Mechanisms for monitoring outages","DB29","DB29","","",""
"44","getting electricity mechanisms for restoring service-DB-Total","DB","Getting Electricity Mechanisms for restoring service","Total","Getting Electricity Mechanisms for restoring service","92-DB-Total","0-1","0-1","Value",4.294,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Mechanisms for restoring service","",4.044,"Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Mechanisms for restoring service","",4.145,"Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Mechanisms for restoring service","DB30","DB30","","",""
"45","getting electricity minimum outage time in minutes-DB-Total","DB","Getting Electricity Minimum outage time in minutes","Total","Getting Electricity Minimum outage time in minutes","94-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"46","getting electricity procedures number-DB-Total","DB","Getting Electricity Procedures number","Total","Getting Electricity Procedures number","101-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"47","getting electricity regulatory monitoring-DB-Total","DB","Getting Electricity Regulatory monitoring","Total","Getting Electricity Regulatory monitoring","91-DB-Total","0-1","0-1","Value",4.535,"Private Sector Interface","Property rights and contracts","Other","Getting Electricity: Regulatory monitoring","",4.281,"Private Sector Interface","Permits and Licenses","Other","Getting Electricity: Regulatory monitoring","",4.238,"Private Sector Interface","Regulation of entry and exit","Other","Getting Electricity: Regulatory monitoring","DB33","DB33","","",""
"48","getting electricity reliability of supply and transparency of tariff-DB-Total","DB","Getting Electricity Reliability of supply and transparency of tariff","Total","Getting Electricity Reliability of supply and transparency of tariff","98-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"49","getting electricity system average interruption duration saidi-DB-Total","DB","Getting Electricity System average interruption duration SAIDI","Total","Getting Electricity System average interruption duration SAIDI","96-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"50","getting electricity system average interruption frequency saifi-DB-Total","DB","Getting Electricity System average interruption frequency SAIFI","Total","Getting Electricity System average interruption frequency SAIFI","95-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"51","getting electricity time days-DB-Total","DB","Getting Electricity Time days","Total","Getting Electricity Time days","100-DB-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
